reward/env_0,reward/env_1,train/value_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,eval/success_rate,eval/std_reward,train/explained_variance,eval/mean_reward,train/n_updates,train/learning_rate
-1252.2490591871447,,,,,,,,,,,,,,,
,-1231.9833389053902,,,,,,,,,,,,,,
-1268.0259235944325,,,,,,,,,,,,,,,
,-1216.4570786630145,,,,,,,,,,,,,,
-1469.0944607044923,,,,,,,,,,,,,,,
,-1885.9858364749653,,,,,,,,,,,,,,
-1327.0274569669186,,,,,,,,,,,,,,,
,-1354.1147675280672,,,,,,,,,,,,,,
,,111225.4328125,0.2,0.0011294499,2.44140625e-05,1.0002955198287964,55946.42578125,-8.514762115478515,-0.0008785587968304753,0.0,81.77472908689955,2.390146255493164e-05,-1297.2101415000307,10,0.0003
,-1272.1092467339179,,,,,,,,,,,,,,
-1417.4678123571816,,,,,,,,,,,,,,,
,-1445.51893886905,,,,,,,,,,,,,,
-1165.1901410467954,,,,,,,,,,,,,,,
,-1299.528779924164,,,,,,,,,,,,,,
-1396.291459033018,,,,,,,,,,,,,,,
,-1235.0643396137514,,,,,,,,,,,,,,
-1208.2878147041376,,,,,,,,,,,,,,,
,,102833.17890625,0.2,0.00076700374,0.0,1.0010346174240112,49653.0703125,-8.517166900634766,-0.0005901586875552312,0.0,52.047203445745865,3.1948089599609375e-05,-1136.5522563185968,20,0.0003
-1417.380380726991,,,,,,,,,,,,,,,
,-1175.1190092286758,,,,,,,,,,,,,,
-1181.5991851114154,,,,,,,,,,,,,,,
,-1363.247900049606,,,,,,,,,,,,,,
-1382.008180782455,,,,,,,,,,,,,,,
,-1192.142061213896,,,,,,,,,,,,,,
-1513.6377765943714,,,,,,,,,,,,,,,
,-1137.5555293738353,,,,,,,,,,,,,,
,,103665.283984375,0.2,0.0005904768,0.0,1.0027962923049927,51691.8359375,-8.524291515350342,-0.0004524919233517721,0.0,91.87041111892938,5.2094459533691406e-05,-1060.3725070726352,30,0.0003
-1594.6541825695067,,,,,,,,,,,,,,,
,-1608.869710508117,,,,,,,,,,,,,,
-1242.7761867253714,,,,,,,,,,,,,,,
,-1211.8478882860743,,,,,,,,,,,,,,
-1857.8137210672405,,,,,,,,,,,,,,,
,-1486.889305940089,,,,,,,,,,,,,,
-1305.091973370761,,,,,,,,,,,,,,,
,-1292.8135210507185,,,,,,,,,,,,,,
,,116601.0109375,0.2,0.0005560846,0.0,1.0031120777130127,55345.6328125,-8.532274436950683,-0.0006556925014592707,0.0,20.58912603996572,5.167722702026367e-05,-1110.9238537041251,40,0.0003
-1552.13494580716,,,,,,,,,,,,,,,
,-1343.1979194383546,,,,,,,,,,,,,,
-1236.9844380223244,,,,,,,,,,,,,,,
,-1077.9425881626692,,,,,,,,,,,,,,
-1305.1150918792373,,,,,,,,,,,,,,,
,-1323.0025930629004,,,,,,,,,,,,,,
-1372.9490608069268,,,,,,,,,,,,,,,
,-1142.3637346882438,,,,,,,,,,,,,,
,,101254.048046875,0.2,0.0014506646,7.32421875e-05,1.003121256828308,50450.2109375,-8.531976985931397,-0.001294383080676198,0.0,52.374742111102044,-1.8835067749023438e-05,-1362.92264132268,50,0.0003
-1267.2011361829461,,,,,,,,,,,,,,,
,-1435.087729877802,,,,,,,,,,,,,,
-1170.371347215205,,,,,,,,,,,,,,,
,-1320.7911020088238,,,,,,,,,,,,,,
-1307.3350417269835,,,,,,,,,,,,,,,
,-1225.3794549771317,,,,,,,,,,,,,,
-1275.2701387463192,,,,,,,,,,,,,,,
,-1138.9696325649288,,,,,,,,,,,,,,
,,100292.033203125,0.2,0.00062648975,0.0,1.0036767721176147,49886.48046875,-8.533516883850098,-0.0005214364995481446,0.0,110.19653720560856,1.996755599975586e-05,-1145.8293759191442,60,0.0003
-1632.910007265721,,,,,,,,,,,,,,,
,-1451.7785921012205,,,,,,,,,,,,,,
-1541.1814071271478,,,,,,,,,,,,,,,
,-1209.7826048022355,,,,,,,,,,,,,,
-1185.804101388868,,,,,,,,,,,,,,,
,-1359.8400971689953,,,,,,,,,,,,,,
-1169.859310059197,,,,,,,,,,,,,,,
,-1268.815053599369,,,,,,,,,,,,,,
,,106540.41640625,0.2,0.00071261177,0.0,1.0039507150650024,53881.796875,-8.536617374420166,-0.000765629712259397,0.0,64.28810394237225,-5.6624412536621094e-05,-1087.446516207535,70,0.0003
-1124.3254214349593,,,,,,,,,,,,,,,
,-1246.000053182602,,,,,,,,,,,,,,
-1183.7694228110308,,,,,,,,,,,,,,,
,-1348.640387132375,,,,,,,,,,,,,,
-1502.9450923354943,,,,,,,,,,,,,,,
,-1336.8077262889844,,,,,,,,,,,,,,
-1172.3935045707883,,,,,,,,,,,,,,,
,-1502.3337743139255,,,,,,,,,,,,,,
,,101675.349609375,0.2,0.00066327926,0.0,1.0040756464004517,48740.92578125,-8.537498617172242,-0.0005015649949200451,0.0,224.27009956626532,1.1026859283447266e-05,-1158.8755354989594,80,0.0003
-1273.8157961090205,,,,,,,,,,,,,,,
,-1431.1685620532567,,,,,,,,,,,,,,
-1499.9449921908333,,,,,,,,,,,,,,,
,-1418.5029515118044,,,,,,,,,,,,,,
-1367.5556402317568,,,,,,,,,,,,,,,
,-1229.8042726635833,,,,,,,,,,,,,,
-1269.4668739077606,,,,,,,,,,,,,,,
,-1306.8082088660321,,,,,,,,,,,,,,
,,104895.41640625,0.2,0.00050418364,0.0,1.0043745040893555,51544.7109375,-8.538641500473023,-0.0005857754964381457,0.0,33.6425873272393,4.89354133605957e-05,-1028.2879692417707,90,0.0003
