reward/env_0,reward/env_1,train/loss,train/policy_gradient_loss,eval/std_reward,train/value_loss,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,eval/mean_reward,train/entropy_loss,eval/success_rate,train/clip_fraction,train/learning_rate,train/std
-356.55014595029127,,,,,,,,,,,,,,,
,-359.3558279833193,,,,,,,,,,,,,,
-363.99790154872306,,,,,,,,,,,,,,,
,-565.3314875238029,,,,,,,,,,,,,,
-615.5060819697678,,,,,,,,,,,,,,,
,-741.136764737649,,,,,,,,,,,,,,
-329.65063255607504,,,,,,,,,,,,,,,
,-452.88454235018315,,,,,,,,,,,,,,
,,5320.376953125,-0.00302899630041793,179.24926586910124,10775.239892578125,10,0.2,0.0057369936,-0.0005573034286499023,-201.40108092373325,-8.514035844802857,0.0,0.015673828125,0.0003,0.999936044216156
,-375.63429247012107,,,,,,,,,,,,,,
-396.35039212418235,,,,,,,,,,,,,,,
,-550.2940155599583,,,,,,,,,,,,,,
-226.75951278158573,,,,,,,,,,,,,,,
,-452.00677083949387,,,,,,,,,,,,,,
-521.6557098920377,,,,,,,,,,,,,,,
,-429.0063728328805,,,,,,,,,,,,,,
-335.59648158122565,,,,,,,,,,,,,,,
,,3353.074462890625,-0.0019314696080982685,134.36865270930429,6908.064672851562,20,0.2,0.0031595905,-0.000652313232421875,-329.1000636791975,-8.51253800392151,0.0,0.002001953125,0.0003,0.9998221397399902
-366.4800929669413,,,,,,,,,,,,,,,
,-284.839366991482,,,,,,,,,,,,,,
-280.87027096559154,,,,,,,,,,,,,,,
,-396.5416244561912,,,,,,,,,,,,,,
-677.7140552870826,,,,,,,,,,,,,,,
,-367.38332841903974,,,,,,,,,,,,,,
-231.88371935298383,,,,,,,,,,,,,,,
,-292.9478542862216,,,,,,,,,,,,,,
,,3222.630126953125,-0.0025151991983875634,83.41800867459297,6491.050317382813,30,0.2,0.0049881954,0.0004817843437194824,-171.31972037638917,-8.51402015686035,0.0,0.0100830078125,0.0003,1.0004609823226929
-776.2926591047217,,,,,,,,,,,,,,,
,-496.84602216772765,,,,,,,,,,,,,,
-319.34569011059756,,,,,,,,,,,,,,,
,-331.39538286126884,,,,,,,,,,,,,,
-607.3058146519148,,,,,,,,,,,,,,,
,-283.6027910011479,,,,,,,,,,,,,,
-363.4956038138679,,,,,,,,,,,,,,,
,-374.7888407595815,,,,,,,,,,,,,,
,,5050.05615234375,-0.0031115842401050033,56.8163184406759,9927.407373046875,40,0.2,0.004588761,-0.00033664703369140625,-445.451974351406,-8.517203521728515,0.0,0.0072509765625,0.0003,1.0006672143936157
-420.2945035635207,,,,,,,,,,,,,,,
,-260.21359348793965,,,,,,,,,,,,,,
-575.2590820242455,,,,,,,,,,,,,,,
,-398.26833628341404,,,,,,,,,,,,,,
-664.8176220622477,,,,,,,,,,,,,,,
,-425.9041067378729,,,,,,,,,,,,,,
-548.0522327512474,,,,,,,,,,,,,,,
,-439.8454867810634,,,,,,,,,,,,,,
,,4705.6123046875,-0.0034328829613514246,69.10638372785608,9527.8921875,50,0.2,0.00558869,-0.0007460117340087891,-241.84574289401758,-8.516746044158936,0.0,0.010888671875,0.0003,1.000370740890503
-200.31907832776136,,,,,,,,,,,,,,,
,-509.39004352624977,,,,,,,,,,,,,,
-295.11789947415804,,,,,,,,,,,,,,,
,-223.19985768084706,,,,,,,,,,,,,,
-456.8828467321464,,,,,,,,,,,,,,,
,-266.8858869073105,,,,,,,,,,,,,,
-245.76210949875968,,,,,,,,,,,,,,,
,-227.0491813482979,,,,,,,,,,,,,,
,,2092.5234375,-0.002661152568180114,42.68665868007092,4465.861352539063,60,0.2,0.005779017,-0.000847935676574707,-114.38328083608074,-8.513471746444703,0.0,0.01279296875,0.0003,0.9995696544647217
-488.99089056007017,,,,,,,,,,,,,,,
