reward/env_0,reward/env_1,eval/success_rate,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/n_updates,train/std,train/entropy_loss,train/value_loss,train/loss,train/clip_range,train/approx_kl
-394.7472465176685,,,,,,,,,,,,,,,,
,-352.43395139751243,,,,,,,,,,,,,,,
,,0.0,102.0,2000,-165.9487513,,,,,,,,,,,
-342.49502597037815,,,,,,,,,,,,,,,,
,-309.75854463499684,,,,,,,,,,,,,,,
-720.6044304293393,,,,,,,,,,,,,,,,
,-632.7020348465632,,,,,,,,,,,,,,,
,,0.0,102.0,4000,-140.51620110000002,,,,,,,,,,,
-372.41670229032286,,,,,,,,,,,,,,,,
,-432.1797797474486,,,,,,,,,,,,,,,
-356.01649552123115,,,,,,-0.003357272082939744,0.0202880859375,-0.000209808349609375,0.0003,10,0.9995770454406738,-8.513090753555298,8907.88134765625,4467.58935546875,0.2,0.006407667
,-386.45288806612206,,,,,,,,,,,,,,,
,,0.0,102.0,6000,-251.2823906,,,,,,,,,,,
-404.2840450934555,,,,,,,,,,,,,,,,
,-371.62444227383514,,,,,,,,,,,,,,,
-690.3389462619091,,,,,,,,,,,,,,,,
,-543.7042525586743,,,,,,,,,,,,,,,
,,0.0,102.0,8000,-260.0884321,,,,,,,,,,,
-334.46560562105367,,,,,,,,,,,,,,,,
,-456.12246553650385,,,,,,,,,,,,,,,
-349.01208291659617,,,,,,-0.002914089767728001,0.0044677734375,-0.00029397010803222656,0.0003,20,0.9999232292175293,-8.511207818984985,8970.0958984375,4468.72998046875,0.2,0.004367926
,-291.0968154383258,,,,,,,,,,,,,,,
,,0.0,102.0,10000,-404.6547667,,,,,,,,,,,
-418.0978130273983,,,,,,,,,,,,,,,,
,-351.33621440219395,,,,,,,,,,,,,,,
-500.2453850117865,,,,,,,,,,,,,,,,
,-392.415308786857,,,,,,,,,,,,,,,
,,0.0,102.0,12000,-407.6412809,,,,,,,,,,,
-347.6286346093567,,,,,,,,,,,,,,,,
,-194.03176492511597,,,,,,,,,,,,,,,
-572.5192898310061,,,,,,-0.0030479778652079403,0.009033203125,0.0003464818000793457,0.0003,30,1.0013943910598755,-8.51702003479004,5718.331860351563,2702.4033203125,0.2,0.00493194
,-794.241527134998,,,,,,,,,,,,,,,
,,0.0,102.0,14000,-457.6547249,,,,,,,,,,,
-337.8951425758796,,,,,,,,,,,,,,,,
,-448.458759710082,,,,,,,,,,,,,,,
-719.6337478177777,,,,,,,,,,,,,,,,
,-346.0148885018852,,,,,,,,,,,,,,,
,,0.0,102.0,16000,-405.0353401000001,,,,,,,,,,,
-379.75126329497243,,,,,,,,,,,,,,,,
,-307.86575185152475,,,,,,,,,,,,,,,
-499.084699437689,,,,,,-0.002595103142084554,0.0056640625,-3.4689903259277344e-05,0.0003,40,1.0017224550247192,-8.523546266555787,10840.15380859375,5420.71142578125,0.2,0.0043058023
,-310.3347094592474,,,,,,,,,,,,,,,
,,0.0,102.0,18000,-301.5435218,,,,,,,,,,,
-496.59985984485473,,,,,,,,,,,,,,,,
,-350.0984656667523,,,,,,,,,,,,,,,
-730.1916683922412,,,,,,,,,,,,,,,,
,-310.50934748659665,,,,,,,,,,,,,,,
,,0.0,102.0,20000,-265.2792366,,,,,,,,,,,
-452.49186979506965,,,,,,,,,,,,,,,,
,-355.44659318114054,,,,,,,,,,,,,,,
-323.8484439636652,,,,,,-0.0037461599509697407,0.0124267578125,-0.00037419795989990234,0.0003,50,1.0016037225723267,-8.523315954208375,8440.139208984376,4190.0205078125,0.2,0.0059106154
,-460.0745348462685,,,,,,,,,,,,,,,
,,0.0,102.0,22000,-139.33827839999998,,,,,,,,,,,
-304.89016561113783,,,,,,,,,,,,,,,,
,-288.0051974975846,,,,,,,,,,,,,,,
-435.0442392442525,,,,,,,,,,,,,,,,
,-243.1695057703724,,,,,,,,,,,,,,,
,,0.0,102.0,24000,-136.3989109,,,,,,,,,,,
-248.01115725714558,,,,,,,,,,,,,,,,
,-247.66883852722853,,,,,,,,,,,,,,,
-484.74008160053825,,,,,,-0.0030251630872953684,0.0126708984375,-0.0002442598342895508,0.0003,60,1.0000356435775757,-8.519504928588868,3767.8866333007813,1853.5198974609375,0.2,0.005623446
,-206.78190816305545,,,,,,,,,,,,,,,
,,0.0,102.0,26000,-45.8973467,,,,,,,,,,,
-366.462692132474,,,,,,,,,,,,,,,,
,-231.43754512041437,,,,,,,,,,,,,,,
-230.78695190686062,,,,,,,,,,,,,,,,
,-256.4526017709447,,,,,,,,,,,,,,,
,,0.0,102.0,28000,-99.4283824,,,,,,,,,,,
-168.12978388668645,,,,,,,,,,,,,,,,
,-269.43426018715047,,,,,,,,,,,,,,,
-157.43893505664906,,,,,,-0.002914106787648052,0.009521484375,-0.00019466876983642578,0.0003,70,0.9974892139434814,-8.506546545028687,3958.394665527344,1873.43310546875,0.2,0.005479359
,-367.56753904076544,,,,,,,,,,,,,,,
,,0.0,99.0,30000,25.076832599999996,,,,,,,,,,,
-251.6127126372559,,,,,,,,,,,,,,,,
,-300.6715086342359,,,,,,,,,,,,,,,
-290.3997114796797,,,,,,,,,,,,,,,,
,-597.4156508704111,,,,,,,,,,,,,,,
,,0.0,102.0,32000,-48.97084199999999,,,,,,,,,,,
-300.6337545835864,,,,,,,,,,,,,,,,
