reward/env_0,reward/env_1,time/total_timesteps,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance
-549.523316897447,,,,,,,,,,,,,,,,
,-310.2220165546074,,,,,,,,,,,,,,,
,,2000,-165.9487513,0.0,102.0,,,,,,,,,,,
-368.69701372371554,,,,,,,,,,,,,,,,
,-431.2901574772999,,,,,,,,,,,,,,,
-595.7010874649789,,,,,,,,,,,,,,,,
,-628.8670730433818,,,,,,,,,,,,,,,
,,4000,-140.51620110000002,0.0,102.0,,,,,,,,,,,
-434.12937127803616,,,,,,,,,,,,,,,,
,-506.42264586541313,,,,,,,,,,,,,,,
,-608.8926127599382,,,,,9632.206298828125,0.0003,-8.514805603027344,1.0002385377883911,4806.650390625,-0.0028526805399451405,0.2,0.01416015625,10,0.005477775,-0.00029397010803222656
-424.39013814478176,,,,,,,,,,,,,,,,
,,6000,-179.68611900000002,0.0,102.0,,,,,,,,,,,
,-519.6804813495571,,,,,,,,,,,,,,,
-496.45965003309294,,,,,,,,,,,,,,,,
,-449.6355203986142,,,,,,,,,,,,,,,
-441.8914278937872,,,,,,,,,,,,,,,,
,,8000,-152.3172907,0.0,102.0,,,,,,,,,,,
,-362.53224292130665,,,,,,,,,,,,,,,
-383.36534147371316,,,,,,,,,,,,,,,,
-532.1350043479692,,,,,,9080.321533203125,0.0003,-8.513361072540283,0.9996722340583801,4541.4638671875,-0.0017594661330804229,0.2,0.001513671875,20,0.0027532578,-0.0007541179656982422
,-458.32966546597424,,,,,,,,,,,,,,,
,,10000,-133.57897530000002,0.0,102.0,,,,,,,,,,,
-271.96998365191587,,,,,,,,,,,,,,,,
,-377.1679112087384,,,,,,,,,,,,,,,
-676.8195801925573,,,,,,,,,,,,,,,,
,-312.00200917955146,,,,,,,,,,,,,,,
,,12000,-123.58528529999998,0.0,102.0,,,,,,,,,,,
-326.38479632700904,,,,,,,,,,,,,,,,
,-211.83876715817286,,,,,,,,,,,,,,,
-366.6433067945478,,,,,,8134.7586669921875,0.0003,-8.511821413040161,0.9998941421508789,4050.623291015625,-0.0035976055660285056,0.2,0.0108154296875,30,0.0054866355,0.0002154707908630371
,-520.9862102577661,,,,,,,,,,,,,,,
,,14000,-113.94937870000001,0.0,102.0,,,,,,,,,,,
-325.8964001251257,,,,,,,,,,,,,,,,
,-419.3263101072456,,,,,,,,,,,,,,,
-637.7563632810643,,,,,,,,,,,,,,,,
,-262.8403884599089,,,,,,,,,,,,,,,
,,16000,-145.18985709999998,0.0,102.0,,,,,,,,,,,
-445.814274154483,,,,,,,,,,,,,,,,
,-339.18229532521974,,,,,,,,,,,,,,,
-231.0307817133036,,,,,,7393.861401367188,0.0003,-8.514138746261597,1.0003187656402588,3740.943603515625,-0.002081354020629078,0.2,0.005615234375,40,0.0038697156,-0.0004374980926513672
,-312.9200759580837,,,,,,,,,,,,,,,
,,18000,-244.3292101,0.0,102.0,,,,,,,,,,,
-374.06165318514866,,,,,,,,,,,,,,,,
,-330.76797138738146,,,,,,,,,,,,,,,
-421.89409724038677,,,,,,,,,,,,,,,,
,-408.80773581039557,,,,,,,,,,,,,,,
,,20000,-237.29640719999998,0.0,102.0,,,,,,,,,,,
-513.9222229653581,,,,,,,,,,,,,,,,
,-387.4478075402606,,,,,,,,,,,,,,,
-474.5027933946788,,,,,,5973.316625976562,0.0003,-8.51360239982605,0.9994290471076965,2946.35302734375,-0.005000450147781521,0.2,0.030615234375,50,0.008862426,-0.0009652376174926758
,-357.55054380406943,,,,,,,,,,,,,,,
,,22000,-39.396416099999996,0.0,102.0,,,,,,,,,,,
-417.7249309337341,,,,,,,,,,,,,,,,
,-250.63133680430974,,,,,,,,,,,,,,,
-406.4179487074653,,,,,,,,,,,,,,,,
,-264.83637196712033,,,,,,,,,,,,,,,
,,24000,-80.3981541,0.0,102.0,,,,,,,,,,,
-341.74428895200003,,,,,,,,,,,,,,,,
,-161.3361709608902,,,,,,,,,,,,,,,
-320.96045398000234,,,,,,4901.604272460938,0.0003,-8.508315515518188,0.9991307258605957,2488.565185546875,-0.0010194646572927013,0.2,0.0001953125,60,0.001905177,-0.0010210275650024414
,-236.89359434505505,,,,,,,,,,,,,,,
,,26000,-46.3307306,0.0,102.0,,,,,,,,,,,
-385.13870651648557,,,,,,,,,,,,,,,,
,-256.56421305472605,,,,,,,,,,,,,,,
-304.52841141234273,,,,,,,,,,,,,,,,
,-305.947782594497,,,,,,,,,,,,,,,
,,28000,-80.639771,0.0,102.0,,,,,,,,,,,
-457.4971171837904,,,,,,,,,,,,,,,,
,-298.38961563563174,,,,,,,,,,,,,,,
-147.3396493918853,,,,,,4508.7117919921875,0.0003,-8.507036542892456,0.9985664486885071,2247.153564453125,-0.002655940951080993,0.2,0.0076904296875,70,0.0049017463,-0.0008029937744140625
,-309.2607204236989,,,,,,,,,,,,,,,
,,30000,234.20042270000005,0.2,99.3,,,,,,,,,,,
-473.2268238894314,,,,,,,,,,,,,,,,
,-477.5126363768879,,,,,,,,,,,,,,,
-551.7007184658675,,,,,,,,,,,,,,,,
,-403.7383025326979,,,,,,,,,,,,,,,
,,32000,-90.8139716,0.0,102.0,,,,,,,,,,,
-141.9354169618285,,,,,,,,,,,,,,,,
,-632.965656850717,,,,,,,,,,,,,,,
-242.6041788518399,,,,,,10522.715087890625,0.0003,-8.503094244003297,0.9980911612510681,5113.9072265625,-0.001665074797347188,0.2,0.003125,80,0.0032415069,-0.0007064342498779297
,-437.39045667414405,,,,,,,,,,,,,,,
,,34000,234.61469799999995,0.2,96.8,,,,,,,,,,,
-323.9184543988662,,,,,,,,,,,,,,,,
,-388.4757720965236,,,,,,,,,,,,,,,
-223.98194250423074,,,,,,,,,,,,,,,,
,-277.57137118648444,,,,,,,,,,,,,,,
,,36000,53.4009952,0.1,98.5,,,,,,,,,,,
-381.6632433169891,,,,,,,,,,,,,,,,
,-317.148897938135,,,,,,,,,,,,,,,
-119.39183144742017,,,,,,4948.1883544921875,0.0003,-8.500115489959716,0.9974068999290466,2509.507080078125,-0.004306971852201968,0.2,0.015185546875,90,0.006577581,7.492303848266602e-05
,-359.9956825371649,,,,,,,,,,,,,,,
,,38000,-67.98953009999998,0.1,96.8,,,,,,,,,,,
-264.93971363228167,,,,,,,,,,,,,,,,
,128.72273079966558,,,,,,,,,,,,,,,
-442.92083970024595,,,,,,,,,,,,,,,,
,-309.6374877219026,,,,,,,,,,,,,,,
,,40000,-195.39580039999998,0.0,98.2,,,,,,,,,,,
-272.0197437820572,,,,,,,,,,,,,,,,
,-427.4701492330112,,,,,,,,,,,,,,,
-413.14572534169776,,,,,,6083.60068359375,0.0003,-8.491181230545044,0.9947999119758606,2810.641845703125,-0.0038631761795841157,0.2,0.0294189453125,100,0.008644422,0.00020205974578857422
,-436.9088438099334,,,,,,,,,,,,,,,
,,42000,-215.83425699999998,0.0,100.9,,,,,,,,,,,
55.03239784491384,,,,,,,,,,,,,,,,
,-319.3151039936452,,,,,,,,,,,,,,,
-318.64579839195096,,,,,,,,,,,,,,,,
,-334.56257376926993,,,,,,,,,,,,,,,
,,44000,-188.0925832,0.0,95.9,,,,,,,,,,,
-174.78447723552625,,,,,,,,,,,,,,,,
,-274.86837746993285,,,,,,,,,,,,,,,
-194.28192953803406,,,,,,7516.387353515625,0.0003,-8.478187227249146,0.993807315826416,3350.1396484375,-0.0026819834019988775,0.2,0.01572265625,110,0.0061354223,-0.0008776187896728516
,-411.22054814571464,,,,,,,,,,,,,,,
