reward/env_0,reward/env_1,train/loss,train/std,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward
-380.943237926861,,,,,,,,,,,,,,,,
,-328.4619827105616,,,,,,,,,,,,,,,
-385.4531998254146,,,,,,,,,,,,,,,,
,-301.56700588955516,,,,,,,,,,,,,,,
-568.0678335132927,,,,,,,,,,,,,,,,
,-639.5347235467503,,,,,,,,,,,,,,,
-273.6336512406894,,,,,,,,,,,,,,,,
,-438.3731936174578,,,,,,,,,,,,,,,
,-723.8634490253304,3767.00537109375,0.9976072907447815,0.005727844,0.04775390625,0.0003,0.0001964569091796875,10,0.2,-8.50664018392563,-0.005026107052981388,7025.721170043946,,,,
-387.22532520164475,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6000,0.0,102.0,-167.90038343000003
,-420.8248427242403,,,,,,,,,,,,,,,
-261.5811838176213,,,,,,,,,,,,,,,,
,-445.7837057452822,,,,,,,,,,,,,,,
-576.6786960186657,,,,,,,,,,,,,,,,
,-393.1254017972924,,,,,,,,,,,,,,,
-278.12397766843424,,,,,,,,,,,,,,,,
-304.84079385006095,,3444.801513671875,0.9954226613044739,0.006071168,0.048291015625,0.0003,-0.0001327991485595703,20,0.2,-8.492863208055496,-0.005534559465013444,7349.715048217773,,,,
,-307.42802356864274,,,,,,,,,,,,,,,
-311.0859496094956,,,,,,,,,,,,,,,,
,-341.91734277093843,,,,,,,,,,,,,,,
-637.057748794605,,,,,,,,,,,,,,,,
,-434.95865410110844,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12000,0.0,102.0,-298.36130247999995
-264.29598413947076,,,,,,,,,,,,,,,,
,-243.3876906504513,,,,,,,,,,,,,,,
-665.5727597946902,,2636.9375,0.9969265460968018,0.006105501,0.057373046875,0.0003,2.4020671844482422e-05,30,0.2,-8.490977591276168,-0.005337331666669343,5852.569219970703,,,,
,-547.6083264537452,,,,,,,,,,,,,,,
-415.3051123385894,,,,,,,,,,,,,,,,
,-309.87053453085656,,,,,,,,,,,,,,,
-721.7543883967297,,,,,,,,,,,,,,,,
,-321.06663908811436,,,,,,,,,,,,,,,
-377.77152758259524,,,,,,,,,,,,,,,,
,-360.2611992081642,,,,,,,,,,,,,,,
-391.1518429143967,,3704.92041015625,0.9962320327758789,0.005948456,0.054541015625,0.0003,-0.00016379356384277344,40,0.2,-8.493454879522323,-0.006338374398183078,9125.988711547852,,,,
,-262.36243623616514,,,,,,,,,,,,,,,
,,,,,,,,,,,,,18000,0.0,102.0,-384.58104949999995
-334.68131084166987,,,,,,,,,,,,,,,,
,-446.25839703529454,,,,,,,,,,,,,,,
-423.84600380464263,,,,,,,,,,,,,,,,
,-521.6540133594843,,,,,,,,,,,,,,,
-457.03476439438583,,,,,,,,,,,,,,,,
,-339.118901947286,,,,,,,,,,,,,,,
-374.8113810497592,,2778.7646484375,0.9901064038276672,0.0064994134,0.069677734375,0.0003,-0.00019156932830810547,50,0.2,-8.47327408194542,-0.007771660410799086,6143.655621337891,,,,
,-451.0780059317975,,,,,,,,,,,,,,,
-282.20950988747825,,,,,,,,,,,,,,,,
,-260.91995286183925,,,,,,,,,,,,,,,
-381.87383441722784,,,,,,,,,,,,,,,,
,-211.77772561105203,,,,,,,,,,,,,,,
,,,,,,,,,,,,,24000,0.0,102.0,-133.89268821000002
-279.799400825602,,,,,,,,,,,,,,,,
,-166.33679380315914,,,,,,,,,,,,,,,
-358.2082727863326,,1800.432861328125,0.988473653793335,0.0046156524,0.038427734375,0.0003,-2.8014183044433594e-05,60,0.2,-8.447550135850907,-0.0040389916437561625,3157.999407958984,,,,
