reward/env_8,reward/env_0,reward/env_1,reward/env_2,reward/env_3,reward/env_4,reward/env_5,reward/env_6,reward/env_7,reward/env_9,reward/env_10,reward/env_11,reward/env_12,reward/env_13,reward/env_14,reward/env_15,train/entropy_loss,train/clip_range,train/value_loss,train/std,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length,time/total_timesteps,eval/success_rate
-667.2934721329515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-344.906712633548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-443.52240357832795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-595.0795166293897,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-635.8094093948303,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-352.29117379080395,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-405.2608677457846,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-302.030312965648,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-411.41485258849326,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-606.5126707900566,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-296.3266809043874,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-380.84652156785035,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-391.14725308383265,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-377.1342912150286,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-411.55179604778766,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-571.1232932086058,,,,,,,,,,,,,,,
,,,,,,-321.34937508200903,,,,,,,,,,,,,,,,,,,,,,,,
-210.91918771823958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-468.43193068834114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-288.0621024965252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-324.65613159185034,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-556.2950944387399,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-463.0746867803674,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-528.2498899095227,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-345.30483881696955,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-368.06627383033543,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-295.5198589929711,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-534.360334590029,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-432.8046155097568,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-616.5757182842478,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-360.3655905161333,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-455.04129086001774,,,,,,,,,,,,,,,
,,,,,,-438.62122821735886,,,,,,,,,,,,,,,,,,,,,,,,
-276.0292187160591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-407.2125012442104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-248.7008175654465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-443.4127864112894,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-579.2749067266371,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-259.38352164335663,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-711.4790583563847,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-379.4167551379166,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-496.21524654342227,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-350.76248193767805,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-250.37033040517227,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-583.4765607510827,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-595.1304753833333,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-325.6381838191821,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-431.26541352077345,,,,,,,,,,,,,,,
,,,,,,,,,-673.4244406979731,,,,,,,,,,,,,,,,,,,,,
,,,,,,-642.841219333802,,,,,,,,,,,,,,,,,,,,,,,,
-473.2479388729388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-413.8092777440044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-333.07262783665635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-222.51314310694914,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-438.60574381000305,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-411.5142221070678,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-418.8136058446641,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-413.63150389909333,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-364.8571851642001,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-378.55391452529744,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-454.7963217902053,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-377.14397237548144,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-419.5875397543085,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-649.6860933854334,,,,,,,,,,,,,,,
,,,,,,,,,-322.71921727184656,,,,,,,-8.49345746189356,0.2,6229.895458602905,0.9962891936302185,2340.414306640625,0.0003,0.0066375434,0.065057373046875,-2.1457672119140625e-06,-0.006586285230423527,10,,,,
,,,,,,-375.44514117804835,,,,,,,,,,,,,,,,,,,,,,,,
-286.62846528065387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-449.82977315430253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-573.820564691332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-567.1264098070558,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-432.7149696105579,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-350.66735199896243,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-484.90158470634117,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-344.64352605941843,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-287.13826112594927,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-360.71982555727055,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-584.2153065407244,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-403.05059563397083,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-549.8366578266758,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-374.0722178895518,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-247.64898071,102.0,48000,0.0
,,,,,,,,,-374.83738911717603,,,,,,,,,,,,,,,,,,,,,
,,,,,,-461.56917968043297,,,,,,,,,,,,,,,,,,,,,,,,
-462.94222463291726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-585.5687911454529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-319.06922748510846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-407.54452922756445,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-339.7000973256371,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-371.9353344187367,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-506.32693265808285,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-451.5384064201688,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-583.0500265063284,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-497.3493640836747,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-768.2312470786567,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-326.6140724918993,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-313.96364901128584,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-290.48462243322183,,,,,,,,,,,,,,,
,,,,,,,,,-320.13815571178304,,,,,,,,,,,,,,,,,,,,,
,,,,,,-549.7826723315718,,,,,,,,,,,,,,,,,,,,,,,,
-359.4015249407114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-504.6801614981143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-490.00038919206474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-343.7180876901294,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-365.3704466021153,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-465.2930630772454,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-494.7080173571023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-365.73955260233515,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-497.5639657417373,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-414.34560072954775,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-534.1997020093146,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-481.79643030844846,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-497.4446082108333,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-506.2141386191357,,,,,,,,,,,,,,,
,,,,,,,,,-333.0704397797808,,,,,,,,,,,,,,,,,,,,,
,,,,,,-448.1705862416537,,,,,,,,,,,,,,,,,,,,,,,,
-321.36862785446135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-335.8595542945953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-399.6635926910892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-471.25198220988995,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-333.3520773622721,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-512.6151907233215,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-285.38706482748444,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-617.2305036376766,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-360.70047626148414,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-239.48163531975916,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-250.89156353347175,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-375.201224876437,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-345.73480799500487,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-486.407228243388,,,,,,,,,,,,,,,
-391.83070857739887,,,,,,,,,,,,,,,,-8.481077908724547,0.2,5433.123709106445,0.994951069355011,2316.569580078125,0.0003,0.0059520113,0.0584442138671875,7.987022399902344e-06,-0.00427960039160098,20,,,,
,,,,,,,,,-609.2113954387012,,,,,,,,,,,,,,,,,,,,,
,,,,,,-258.3927448526542,,,,,,,,,,,,,,,,,,,,,,,,
,-291.663931853739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-323.9858965754835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-451.0867437277246,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-362.4228540880821,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-424.4493081401515,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-294.6297790951282,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-203.88964353159065,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-500.5446343857757,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-323.37016248574434,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-345.6101612144916,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-264.4677286677327,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-426.71677401250435,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-248.25498756045982,,,,,,,,,,,,,,,
-301.24409295181465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-322.1863040363084,,,,,,,,,,,,,,,,,,,,,
,,,,,,-307.18365863095784,,,,,,,,,,,,,,,,,,,,,,,,
,-307.1768512822989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-258.91280086474933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-355.28878629016333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-400.9436596699128,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-708.3274473891481,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-280.97187765979885,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-565.6279627565244,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-255.25778785645412,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-237.37103857402903,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-413.24328329920684,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-441.2560882058864,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-351.8243593645037,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-267.54694059649285,,,,,,,,,,,,,,,
-398.3874062614401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-285.2245428320754,,,,,,,,,,,,,,,,,,,,,
,,,,,,-329.3363001394847,,,,,,,,,,,,,,,,,,,,,,,,
,-347.33206581379415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-367.2263742049118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-323.8763112197986,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-242.18097321430724,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-273.5382814201886,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-195.16259387326414,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-407.4694146479877,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-263.77590501923555,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-578.436464597861,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-599.0844000387847,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-260.81949230733727,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-407.10789868656946,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-340.6940947077173,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.52257821,102.0,96000,0.0
,,,,,,,,,-351.54104699525317,,,,,,,,,,,,,,,,,,,,,
-256.13227293444413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-283.52094609408584,,,,,,,,,,,,,,,,,,,,,,,,
,-276.7907881725206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-443.1224365234475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-324.0719319087608,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-256.0459360016237,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-356.7846739150166,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-651.3002772723247,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-249.3975380079954,,,,,,,,,,,,,,,,,,,,,,
