#{"t_start": 1701501595.04111, "env_id": "None"}
r,l,t
-97.06421,102,32.521085
-206.269552,102,33.030059
-85.758688,102,33.515219
-137.328231,102,34.015084
-208.965689,102,34.531034
-130.222522,102,35.042275
-193.685512,102,35.551316
-272.943463,102,36.068995
-509.802421,102,36.58585
-383.304145,102,37.101706
-403.160692,102,37.616235
-131.88442,102,38.109682
-138.235792,102,38.618002
-416.701275,102,39.137843
-302.597021,102,39.650763
-114.774135,102,40.151073
-210.560985,102,40.66179
-186.573872,102,41.174861
-307.775377,102,41.676583
-89.580196,102,42.156709
-301.541106,102,42.66974
-208.301352,102,43.183793
-99.190091,102,43.690509
-334.473611,102,44.202996
-134.129945,102,44.717138
-101.735891,102,45.214229
-105.709217,102,45.689503
-131.997992,102,46.193465
-602.246944,102,46-258.107-435.761092,102,86.-216.73--163-269.72774,102,-242.91-2--10-424.240079,10-412.17-461.959962,102,89.5-177.113-945-444.079443,102-377.128-377.091757,102,91.-404.44-375.519442,102,92.5-243.6--283.776903,102,93.7-204.136-1031.073485,102,94-152.--346.50294,102,95.833-366.-237.824599,102,96.864-255.-384.487087,102,101.846-264-509.955723,102,102.0848-264-339.603735,102,103.1284-268.170008,102,104.066318
-550.45-459.879492,102,104.9-20-32-201.551054,102,106.09-46-740-896.636431,102,107.0-58--2-2-325.990227,102,107-358-439.583-206.506581,102,-440-326.998673,102,110.3384-178-157.-941.-432.379498,10-229-361-190-285.684384,102-217.--2-726.681654,102,113-248.614-14-1291.025568,102-128.78-223.070386,102,115.5-141.866269,102,116.518427
-185.14-51-427.511012,102,11-911.11-60-532.-282.372638,-310.430947,102,-322.743881,-340.485-27-304.96563,102,17-137.6-22-298.37369,102,177-193.544458,102-750.602564,1-297.-106.17398,102,179.1305-980-129.731-1026.458388,102-126-134-396.886995,102,181.-513.864841,-3-808.609035,1-15-418.541514,-317.364343,-535-424.542697,102,184.3339-132-636.115718,1-140.591546-335.953012,102-6-368.128368-442.608577,102-567.087726,1-173.704639,10-238.524234,10-655.492063-387.318293,102,1-1-469.7654-408.31769,102,19-3-122.2-3-631.87414,102,191-1-327.84-130.453739,102,192-1-919.5--296.271635,102,193--277.087204,102,194.833057
-368.338-242.3-155.32354,102-298.4-369.724519,102,197.8-355.092378,102,201.007864
-184.604318,10-351.813005,10-336-292-320.287182,102,202.-1-244.470407,102,204.04909-172.919195,102,205.180143
-302.235649,102,206.201711
-191.483466,102-92.775092,10-224.-656.35204,102,208.3648-116-126.-165.-454.226688,10--47-345.284637,102,260.859---13-360.298951,102,261.-326-541.9520-436.233258,102-249--32-356.67482-329.6285-214.-862-152.99171-747.0116-161.-478.8216--372-243.0890-217.-732.24-173.-5-195.053-364.1-852-174.972-404.47443-180.0-170.794-301.032111,10-248.9-1-397.1-203-983.85083-714.--425.356775,102,271.38-315-62.-178.441206,102,275.-17-5.-313.39777,102,276.430--66-301.19936,102-230.71502--6-116.5-1132.830622,102-95.-984.5907-68-434.06555-320.--350.931-376.19957,102-362.-518.832004,-3-183.351-117.-1-289.84368--4-184.403-321-436.928671,102,2-367.77-344-2-353.8-207.679156-430.-113-298.836253,102,28-398.7-333-306.652-203.1-268.00613-76.-318.265-15-309.5-217.0-696.--320.9--326.585715,102-251.--221.0-523-3-244-526.4-416.-146.22817-124.516017,-120.-323.447-36-214.724708-176.-548.297916,102-196.677-243.-4-256.6-336.425034,102-516.-1-679.9-706.794282,102-154.-172.439-442.564049,102-170.--185.88-251.860387,102-121.-426.855549,-452.5302,1-255.-58.768-117.47-37.798,1-289-105.83243-38.404,102,35-13-455.5-203.526023,102,354-78-333.323938,-201.735655,-476--181.373551,102,356-256-458-6.035752,102,357.15-33-5-280.9529-169.336211,10-1-3-282.-108.7990-55.9-156-3-89-29.38-189.39433,102,360-84-641.2-138.595944,102,-182.-169.4-192.91289,102,36-317.-150.64972,102,363.3115-17-170.164945,102,364.33854-1-78.753--79.47-126.274861,-236.7208-179.-316.412507,-3-274.758-185.492--314.4636-1-136.718297,102,368.448814-5-452.5-66.825258-574.8583-19-200.-43-179.856246,102,-95.-75.0346-280.415665,1-87.58-38.-2.38-187-115.21-92.720-17-80.409306,102,37-87.7847-309.03051,102,-412-119.438-93.620787,102,378.4-14.210-83.63934,102,-582.2-401.3-761.259797,102,428.03-117.5-20.160379,-104.1-39.8-120-38.4-37.015088,10-247.--3-35.602276,102-287.68822,-1-76.356-18.552772,102,4-31--161.564376,102-150.40433,16-152.325054,102,434.07976-22-94.805012,102-324.806803-3-70.25-142.8437-177.22879-2-235.79-317.13858,102,436-32-161.404858,102,-364.8-5-107-285.896179,102-168.3661-189-112.45.712547,-363.-73-171.-441.422965,102,444.1-4-107.-251.671461,102-257.393-190.-1-316.932301,102,446.0-360.-7-63.72559,102,447.03--328-185.77965,102,448.13582-29-21.452867,1-0.6018,102,4-4-3-200.636494,102,450.1-2.72-121.544903,102,4-424-215.46-346.029663,102,4-224-480.-160.706905,102,453.325-30-8-260.362518,102,454.371-1-25-223.88-176.06402,102,4-1-150.247441,102,456.388289-3-101.8977-247.504-38.7783-22-14.799302,102,458.564008-2-143.20903-477.580325,10-1-8-555.146249,102,509.365066-1--818.493655,102,510.33117-5-187.359298,102,511.4692-1-8-52.885354,102,515.4844-135-306.412552,102,516.5335--102.4405-240.-283.63382,10-37.4135426.866523,102,518.-3720.266651,-61.520151,102-6-181.677965,102,520.76354-288.531929,102,521.785629--165.434906,102,522.865188--690.152602,102,523.972767
-5-67.06-234.138575,102,524-93.7918733.88177,102,526.--338.67534,102,527.-207.846-72-373.768742,102,528.3366-172.212186,102,529.323703-3-55.061342,102,530.471871
-1-212.270438,102,531.9-2.45-37.264504-196.920832-265.7-1-312.845384,102,534-539.46-255.618181,102,535.0-132.93-6-262.961354,102,536.246225-47.6218-138.512232,102,540-109.0573-77.878342,10-344.-326.476514,102,542.32-51.-544.53563,102,543.463773
-11-266.395565,102,544.45285-71.545296-74.80976,102,591-130.558733,102,592.973596
-179-70.-486.654018,-328.246-57.404858,102,595.1-71.302-509.10-225.692231,-23-264.532.185-329.640592,102,597.-177.990823,102,598.3897-31-262.39-101.272218,102,59-31-255.37-95.832319,102,600.47-178.-27.704113,-91.061253,1-109.164049,102,602.813772
